pano,ONSConstID,ConstituencyName,Region,ConstituencyType,IndexOfChange,Winner19,Second19,Con19,Lab19,LD19,SNP19,PC19,Green19,Brexit19,Other19,Majority19,Turnout19,ConVote19,LabVote19,LDVote19,SNPVote19,PCVote19,GreenVote19,BrexitVote19,OtherVote19,TotalVote19,Electorate19,HanrettyLeave,HanrettyRemain,c21Population,c21PopulationDensity,c21Households,c21Communal,c21Female,c21Male,c21Age0to4,c21Age5to9,c21Age10to15,c21Age16to19,c21Age20to24,c21Age25to29,c21Age30to34,c21Age35to39,c21Age40to44,c21Age45to49,c21Age50to54,c21Age55to59,c21Age60to64,c21Age65to69,c21Age70to74,c21Age75to79,c21Age80to84,c21Age85plus,c21HouseOutright,c21HouseMortgage,c21HouseSocialLA,c21HouseSocialOther,c21HousePrivateLandlord,c21HousePrivateOther,c21HouseholdOnePerson66plus,c21HouseholdOnePersonOther,c21HouseholdOneFamily66plus,c21HouseholdMarriedNoChildren,c21HouseholdMarriedDependents,c21HouseholdMarriedNondependents,c21HouseholdCohabitNoChildren,c21HouseholdCohabitDependents,c21HouseholdCohabitNondependents,c21HouseholdLoneDependents,c21HouseholdLoneNondependents,c21HouseholdOtherDependents,c21HouseholdOtherAllStudents,c21HouseholdOtherAll66Plus,c21HouseholdOtherRelated,c21HouseholdOtherAnyOther,c21CarsNone,c21CarsOne,c21CarsTwo,c21CarsThree,c21CarsFour,c21EthnicityWhite,c21EthnicityMixed,c21EthnicityAsian,c21EthnicityBlack,c21EthnicityOther,c21EthnicityWhiteBritish,c21EthnicityWhiteIrish,c21EthnicityWhiteTraveller,c21EthnicityWhiteRoma,c21EthnicityWhiteOther,c21EthnicityMixedCaribbean,c21EthnicityMixedAfrican,c21EthnicityMixedAsian,c21EthnicityMixedOther,c21EthnicityAsianIndian,c21EthnicityAsianPakistani,c21EthnicityAsianBangladeshi,c21EthnicityAsianChinese,c21EthnicityAsianOther,c21EthnicityBlackAfrican,c21EthnicityBlackCaribbean,c21EthnicityBlackOther,c21EthnicityArab,c21EthnicityAnyOther,c21BornEngland,c21BornNI,c21BornScotland,c21BornWales,c21BornGBNotSpecified,c21BornUKNotSpecified,c21BornIreland,c21BornOtherEurope,c21BornAfrica,c21BornMiddleEastAndAsia,c21BornAmericasAndCaribbean,c21BornOceania,c21PassportNone,c21PassportUK,c21PassportBritishOverseas,c21PassportIreland,c21PassportEU,c21PassportEuropeNotEU,c21PassportAfrica,c21PassportMiddleEastAndAsia,c21PassportAmericasAndCaribbean,c21PassportOceania,c21EnglishAll,c21EnglishOne,c21EnglishChild,c21EnglishNone,c21Christian,c21Buddhist,c21Hindu,c21Jewish,c21Muslim,c21Sikh,c21ReligionOther,c21NoReligion,c21ReligionNotStated,c21NSSECHigherManager,c21NSSECHigherProfessional,c21NSSECLowerManager,c21NSSECIntermediate,c21NSSECSmallEmployer,c21NSSECLowerSupervisor,c21NSSECSemiRoutine,c21NSSECRoutine,c21NSSECNeverWorked,c21NSSECLongtermUnemployed,c21NSSECFulltimeStudent,c21Employed,c21SelfEmployedwithEmployees,c21SelfEmployedwithoutEmployees,c21Unemployed,c21EmployedFTStudent,c21UnemployedFTStudent,c21InactiveRetired,c21InactiveFTStudent,c21InactiveLookingAfterHome,c21InactiveLongTermSick,c21InactiveOther,c21IndustryAgriculture,c21IndustryMining,c21IndustryManufacturing,c21IndustryElectricitySupply,c21IndustryWaterSupply,c21IndustryConstruction,c21IndustryWholesale,c21IndustryTransport,c21IndustryAccommodation,c21IndustryCommunication,c21IndustryFinance,c21IndustryRealEstate,c21IndustryProfessional,c21IndustryAdministrative,c21IndustryPublicAdministration,c21IndustryEducation,c21IndustrySocialWork,c21IndustryOther,c21QualNone,c21QualLevel1,c21QualLevel2,c21QualApprentice,c21QualLevel3,c21QualLevel4,c21QualOther,c21HealthVeryGood,c21HealthGood,c21HealthFair,c21HealthBad,c21HealthVeryBad,c21NoAdultsEmployed,c21OneAdultEmployed,c21TwoAdultsEmployed,c21ThreeAdultsEmployed,c21DeprivedNone,c21Deprived1,c21Deprived2,c21Deprived3,c21Deprived4,c21AnyWelsh,c21NoWelsh,c21LanguageSomeEnglish,c21LanguageLimitedtoNoEnglish,c21IdentityScottishOnly,c21IdentityBritishOnly,c21IdentityScottishandBritish,c21IdentityScottishandOther,c21IdentityEnglishOnly,c21IdentityAnyOther,c21ChurchofScotland,c21Catholic
1,W07000081,Aberafan Maesteg,Wales,County,69.2,Lab,Con,22.63,52.92,3.7,0,8.98,1.58,8.54,1.65,30.29,63.6,10052,23509,1645,0,3991,701,3794,731,44423,69817,61.444879900000004,38.5551201,92575,3.8,99.5,0.5,51.3,48.7,5.2,5.9,7.5,4.3,5.2,6,6.4,6.2,5.7,6,6.9,7.3,6.7,5.8,5.5,4,2.8,2.5,37,27.5,7.6,12.3,12.8,2.9,14.3,18.1,9.4,10.4,10.6,6.5,4.7,5.5,0.9,9.4,5.4,2.1,0,0.1,0.6,2.1,23.2,43.1,25.3,6.2,2.2,96.9,1.1,1.5,0.2,0.3,95.3,0.3,0.1,0,1.1,0.4,0.1,0.3,0.2,0.3,0.1,0.4,0.3,0.4,0.1,0.1,0,0.1,0.2,8.9,0.2,0.6,86.9,0,0,0.3,1.4,0.3,1.1,0.2,0.1,20.9,77.3,0,0.2,0.9,0.1,0.1,0.4,0.1,0,98.4,0.8,0.2,0.7,40.1,0.3,0.3,0,0.8,0.1,0.4,52.5,5.6,2.2,4.4,16,11.3,7.1,8.3,16.6,17.3,10.4,1,5.5,43.8,1,4.4,2.6,1.2,0.4,24.4,4.1,5.5,9.1,3.4,0.4,0.3,13.6,0.6,1,9.4,14.8,4.1,4.7,1.9,2.5,1.3,3,4.1,9.2,7.7,18,3.6,27,9.6,15.2,5.9,15.9,23.7,2.6,44.3,30.5,15.8,7,2.4,43.4,28,22.9,5.7,39.1,33.2,20.3,7.1,0.2,15.5,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,S14000060,Aberdeen North,Scotland,Borough,61.3,SNP,Con,24.55,11.98,7.73,52.9,0,1.22,1.62,0,28.35,65.2,12306,6005,3875,26516,0,612,813,0,50127,76895,43.9461847,56.0538153,111947,NA,NA,NA,51.4,48.6,5,5.4,6.3,4.5,6.9,6.9,7.5,7.5,6.7,6.1,6.6,6.4,6,5.4,4.8,3.5,2.3,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6,1.6,6.1,3.3,1.4,76.5,0.7,0.1,NA,10.3,NA,NA,NA,NA,2.3,0.9,0.5,1,1.4,3.1,0.1,0.2,0.7,0.7,6.3,0.5,73.9,0.2,NA,0,0.3,9.6,3,5.2,1.2,0.2,16,69.3,NA,0.4,9.4,0.2,1.7,2.3,0.6,0,NA,NA,NA,NA,29.9,0.4,1.4,0,2.9,0.1,0.6,59,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,2.2,62.3,11.5,7.7,2.7,1.6,14.2,14.5,8.8
3,S14000061,Aberdeen South,Scotland,Borough,21.1,SNP,Con,34.36,8.77,10.69,45.26,0,0.53,0.39,0,10.9,65.5,17220,4394,5358,22683,0,268,195,0,50118,76560,34.2311034,65.7688966,112074,NA,NA,NA,51,49,4.5,4.7,5.4,5.3,10.1,8.4,7.9,7.3,6.5,5.9,6,6.2,5.7,4.6,4,3,2.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,2,5.6,5.1,1.8,73.9,1.1,0.1,NA,10.4,NA,NA,NA,NA,2.2,0.8,0.4,1,1.3,4.8,0.1,0.2,0.9,0.9,8.5,0.6,67.6,0.4,NA,0,0.6,10.3,4.9,5.4,2.1,0.3,11.5,71.1,NA,0.8,9.1,0.4,3.5,2.5,1,0.1,NA,NA,NA,NA,31.5,0.5,1.3,0.1,2.9,0.1,0.7,56.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.5,1.5,53.2,14.7,9.3,3.1,2.1,17.6,14.7,8.4
4,S14000062,Aberdeenshire North and Moray East,Scotland,County,48.9,Con,SNP,48.32,4.17,4.42,43.09,0,0,0,0,5.23,64.2,22174,1914,2028,19775,0,0,0,0,45891,71485,54.4472089,45.5527912,97578,NA,NA,NA,51.1,48.9,4.7,5.4,6.8,4,4.8,5.3,6,5.8,5.8,6.1,7.7,7.9,7,6.2,6,4.7,3.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1,0.5,0.8,0.3,0.3,92.2,0.4,0.1,NA,5.5,NA,NA,NA,NA,0.1,0.1,0,0.1,0.4,0.2,0,0.1,0.1,0.2,10.9,0.4,81.1,0.3,NA,0,0.2,5.3,0.4,0.9,0.5,0.2,24.2,69.9,NA,0.2,5,0.1,0.1,0.3,0.2,0,NA,NA,NA,NA,35.4,0.2,0.1,0,0.2,0,0.6,57.2,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.6,1.4,70.3,11.7,7,1.3,3.4,6.3,22.6,4.7
5,S14000058,West Aberdeenshire and Kincardine,Scotland,County,none,Con,SNP,42.65,4.56,11.72,41.07,0,0,0,0,1.58,72.4,22752,2431,6253,21909,0,0,0,0,53345,73634,39.084266899999996,60.915733100000004,97475,NA,NA,NA,50.9,49.1,5,6.3,7.9,4.2,3.6,3.8,5.3,6.6,6.8,6.9,7.8,7.9,7.1,6.3,5.5,4.1,2.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.9,1,1.6,1,0.6,91.4,0.6,0.1,NA,3.8,NA,NA,NA,NA,0.5,0.2,0,0.3,0.5,0.9,0,0.1,0.2,0.4,12.9,0.6,77.8,0.5,NA,0,0.3,3.6,1.2,1.8,1.1,0.3,14.8,80.9,NA,0.4,2.6,0.2,0.3,0.4,0.3,0.1,NA,NA,NA,NA,33.6,0.3,0.3,0,0.6,0,0.5,59,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,0.5,62.4,17.4,9.6,2.1,2.9,5.6,22.9,4.6
6,S14000063,Airdrie and Shotts,Scotland,County,10.8,SNP,Lab,17.26,33.11,3.57,44.6,0,1.46,0,0,11.49,65.8,8000,15343,1652,20667,0,676,0,0,46338,70420,39.3874353,60.61256470000001,93041,NA,NA,NA,51.1,48.9,5,5.5,7.3,4.6,5.7,6,6.6,6.5,6.6,6.5,7.9,7.8,6.6,5.5,4.6,3.5,2.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,0.5,2.2,0.4,0.3,93.2,0.8,0.1,NA,2.6,NA,NA,NA,NA,0.3,1.5,0,0.2,0.2,0.3,0,0,0.1,0.2,3.2,0.3,91.7,0.1,NA,0,0.2,2.6,0.5,1.1,0.2,0.1,19.2,77.5,NA,0.2,2.4,0.1,0.2,0.3,0.1,0,NA,NA,NA,NA,55.6,0.1,0.1,0,1.6,0.1,0.3,36.5,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1,0.9,75.6,11.5,7.7,1,0.9,3.4,23.7,28.7
7,E14001063,Aldershot,South East,Borough,6.6,Con,Lab,56.83,22.13,17.5,0,0,3.55,0,0,34.7,67.5,29453,11468,9068,0,0,1839,0,0,51828,76765,57.866235700000004,42.133764299999996,117430,20.6,98.1,1.9,49.8,50.2,6,6,6.6,4.4,5.6,7.4,8.4,7.6,6.7,6.5,7,6.7,5.1,4.2,4.4,3.4,2.2,1.9,27.7,37.2,2.2,12.9,15.5,4.5,10.6,15.6,8,10.6,17.3,7,6.6,4.6,0.7,6.1,4.3,3.4,0,0.1,0.6,4.4,15.3,39.4,32.9,8.8,3.6,79.3,2.5,13.3,2.4,2.5,73.2,0.7,0.2,0.1,5.2,0.6,0.4,0.8,0.6,2,1.1,0.3,0.5,9.4,1.4,0.6,0.4,0.2,2.4,75.1,0.4,1.4,0.9,0,0,0.5,5.8,2.2,12.3,1,0.4,11.2,76.4,0,0.5,4.5,0.2,0.6,6.2,0.3,0.2,86.8,4.4,1.9,7,43.2,4.2,5.2,0.1,2.2,0.2,1.1,38.4,5.4,4.2,8.9,21,13.6,9.6,6.1,13.1,10.7,6.9,0.9,4.9,54.9,1.1,7.6,2.6,1.4,0.5,18.3,3.3,4.1,2.8,3.5,0.1,0.1,5.3,0.4,0.8,8.5,14.3,4.8,4.8,6.9,3.2,1.1,5.4,7.4,10.3,7.7,14.6,4.2,17.7,11.9,14.4,5.7,17.4,29.9,3,49.7,35,11.6,2.9,0.8,27.1,29,34.1,9.8,51.7,32.8,12.4,2.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,E14001064,Aldridge-Brownhills,West Midlands,Borough,20.7,Con,Lab,69.61,21.52,5.61,0,0,1.84,0.71,0.71,48.09,64.7,32941,10183,2654,0,0,873,334,336,47321,73122,67.89008949999999,32.1099106,93607,17.6,99.6,0.4,51.4,48.6,5,5.6,7.1,4.1,4.9,5.6,5.9,5.8,5.7,6.3,7.5,7.4,6.3,5.1,5.7,4.9,3.7,3.4,42,33.8,4.9,8.5,9.1,1.7,15.7,12.6,12,10.6,14.1,7.8,5.1,5.1,1,6.2,4.5,2.5,0,0.1,0.6,2,16.5,39,32.1,8.8,3.6,85.4,2.4,8.7,2.1,1.5,83.2,0.7,0.1,0,1.4,1.2,0.1,0.7,0.4,6.1,1.5,0.2,0.4,0.6,0.8,1,0.3,0.1,1.4,92.5,0.2,0.4,0.6,0,0,0.4,1.5,0.8,3.1,0.4,0.1,16.4,80.8,0,0.4,1.4,0.1,0.2,0.6,0.1,0,95.8,2.3,0.5,1.5,53.7,0.2,1.3,0,2.2,5.2,0.5,31.9,5,3.8,7.1,20.4,13.3,9.9,6.2,12.9,13.2,6.8,1,5.3,46.7,1.5,6.8,2.5,1.1,0.4,26.8,3.9,4,3.9,2.4,0.2,0,10.8,0.6,1.2,11.3,16,5.4,3.5,2.7,2.9,1.7,4.5,4.3,5.5,11.3,14,4.1,21.9,10.6,14.3,6,17.2,27.2,2.8,44.5,35.2,14.5,4.5,1.3,37.6,26.1,28.4,8,46.3,34.5,15.6,3.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,S14000064,Alloa and Grangemouth,Scotland,County,99.7,SNP,Con,24.8,14.5,5.31,52.67,0,1.48,0.39,0.84,27.87,63.2,11323,6622,2426,24050,0,678,177,382,45658,72265,44.0588745,55.9411255,94405,NA,NA,NA,51.2,48.8,4.7,5.2,7,4,5.2,5.7,6.2,6.2,6.2,6.5,7.9,8.1,7,5.7,5.4,4.2,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.9,0.6,1.7,0.4,0.4,93.4,0.6,0.1,NA,2.8,NA,NA,NA,NA,0.3,0.9,0,0.2,0.2,0.3,0,0,0.2,0.2,6.7,0.5,87.1,0.3,NA,0,0.3,2.9,0.7,1.2,0.4,0.2,20.2,76.2,NA,0.3,2.3,0,0.3,0.4,0.2,0,NA,NA,NA,NA,35.2,0.1,0.1,0,1.2,0.1,0.6,57.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2,0.8,72.3,12.3,8.4,1.3,1.7,4.1,22.5,8.7
10,E14001065,Altrincham and Sale West,North West,Borough,none,Con,Lab,48.05,36.84,11.02,0,0,2.86,0,1.24,11.21,74.1,26311,20172,6036,0,0,1566,0,678,54763,73934,38.376966,61.623034,100924,19.8,99.3,0.7,51.4,48.6,5.4,7,8.9,4.3,3.9,4.6,5.5,6.9,7.6,7.4,7.2,6.8,5.6,4.8,4.8,3.8,2.9,2.8,37.7,37.1,3,8.4,12.3,1.6,13.8,13.9,10.2,9.7,22.8,6.2,5.5,3.5,0.6,5.6,3.6,2,0,0.1,0.5,2.1,14.8,41.7,34.2,6.9,2.4,80.6,3.2,12.1,1.7,2.5,75.2,1.9,0,0.1,3.5,0.9,0.4,1.1,0.8,4.5,3.7,0.2,2.8,1,1.1,0.4,0.2,1.1,1.4,82.1,0.7,1.5,1.1,0,0,1.1,3.1,1.6,7.7,0.8,0.3,7,86,0,1.4,2.3,0.2,0.4,2.3,0.3,0.1,91.9,3.6,1.6,2.9,50.5,0.5,3,2.1,6.4,0.4,0.4,31.7,5,6.9,17,24.2,11.7,10.1,3.4,8,6.3,5.4,0.8,6.2,48.1,2.3,8.5,2.2,1.2,0.4,23.3,4.9,4.2,2.7,2.4,0.2,0.1,5.1,0.6,0.6,6.5,12.7,3.2,3.4,7.1,5.3,2.4,12,5.1,4.1,10.8,16.5,4.4,11.5,7.2,12.2,4.4,14.1,48.7,2,56.4,29.7,10,2.9,0.9,32.1,27.4,34.4,6,58.9,29.3,9.8,1.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
