Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Aberafan Maesteg,W07000081,29213.53265,18330.75856,0.614448799,0.385551201
Aberdeen North,S14000060,22093.87764,28180.97057,0.439461847,0.560538153
Aberdeen South,S14000061,18635.12236,35804.02943,0.342311034,0.657688966
Aberdeenshire North and Moray East,S14000062,26491.73918,22164.08678,0.544472089,0.455527912
Airdrie and Shotts,S14000063,16123.20734,24811.69291,0.393874353,0.606125647
Aldershot,E14001063,34073.95906,24810.04931,0.578662357,0.421337643
Aldridge-Brownhills,E14001064,36031.36254,17041.71901,0.678900895,0.321099106
Alloa and Grangemouth,S14000064,20373.21253,25867.67031,0.440588745,0.559411255
Altrincham and Sale West,E14001065,22230.88594,35696.79373,0.38376966,0.61623034
Alyn and Deeside,W07000082,32794.09741,21634.15626,0.602519743,0.397480257
Amber Valley,E14001066,33506.42938,17827.99919,0.652708724,0.347291276
Angus and Perthshire Glens,S14000065,23427.76842,28388.71956,0.452129608,0.547870392
Arbroath and Broughty Ferry,S14000066,18927.61397,32735.67455,0.36636487,0.63363513
"Argyll, Bute and South Lochaber",S14000067,20419.75493,31229.08752,0.395357456,0.604642545
Arundel and South Downs,E14001067,30197.78718,31750.60171,0.487466869,0.512533131
Ashfield,E14001068,35935.53564,14814.53979,0.70808832,0.29191168
Ashford,E14001069,32626.43194,20978.43489,0.608646824,0.391353176
Ashton-under-Lyne,E14001070,28651.86174,17139.63047,0.625702731,0.374297269
Aylesbury,E14001071,27528.17608,26470.524,0.509793311,0.49020669
"Ayr, Carrick and Cumnock",S14000006,20547.91878,26701.96181,0.434877687,0.565122313
Banbury,E14001072,24578.48193,26983.79022,0.476675695,0.523324305
Bangor Aberconwy,W07000083,23607.4024,26127.20936,0.474667471,0.525332529
Barking,E14001073,25723.03019,17343.5532,0.597285138,0.402714862
Barnsley North,E14001074,35913.4371,15903.1756,0.693087318,0.306912683
Barnsley South,E14001075,36678.83674,14734.22938,0.713414692,0.286585308
Barrow and Furness,E14001076,31347.40132,22199.07583,0.585424158,0.414575842
Basildon and Billericay,E14001077,36801.52708,18681.32426,0.663295526,0.336704474
Basingstoke,E14001078,31799.38924,25847.48423,0.551623832,0.448376168
Bassetlaw,E14001079,38259.22373,17308.83182,0.688511112,0.311488888
Bath,E14001080,18255.96914,36434.38215,0.333806032,0.666193968
Bathgate and Linlithgow,S14000068,19343.08766,27822.56142,0.410109646,0.589890354
Battersea,E14001081,11383.48598,39168.10431,0.225185517,0.774814483
Beaconsfield,E14001082,27872.38969,28189.28618,0.49717368,0.50282632
Beckenham and Penge,E14001083,23896.91379,33474.97341,0.416526542,0.583473458
Bedford,E14001084,24387.05392,22369.95943,0.521569967,0.478430033
Bermondsey and Old Southwark,E14001085,14618.61087,38092.05361,0.277336873,0.722663127
"Berwickshire, Roxburgh and Selkirk",S14000008,22861.92638,29747.17979,0.434562152,0.565437848
Bethnal Green and Stepney,E14001086,15374.27424,31119.32939,0.33067504,0.66932496
Beverley and Holderness,E14001087,31688.55469,23188.88807,0.577442262,0.422557738
Bexhill and Battle,E14001088,32204.63821,22598.7359,0.587639698,0.412360302
Bexleyheath and Crayford,E14001089,34310.54016,18117.48749,0.654431259,0.345568741
Bicester and Woodstock,E14001090,27002.06175,28053.48931,0.490451212,0.509548788
Birkenhead,E14001091,26265.77136,24822.97196,0.514120522,0.485879478
Birmingham Edgbaston,E14001092,22722.31673,25344.43834,0.472724167,0.527275833
Birmingham Erdington,E14001093,28322.67105,19347.23922,0.59414148,0.40585852
Birmingham Hall Green and Moseley,E14001094,16368.51097,25326.40744,0.392578079,0.607421921
Birmingham Hodge Hill and Solihull North,E14001095,32759.50659,22122.50158,0.596907943,0.403092057
Birmingham Ladywood,E14001096,17201.55869,25372.53152,0.404038198,0.595961802
Birmingham Northfield,E14001097,26929.43007,20020.96778,0.573571925,0.426428075
Birmingham Perry Barr,E14001098,21701.17738,21580.47732,0.501394356,0.498605644
Birmingham Selly Oak,E14001099,20948.04231,21591.07473,0.492441869,0.507558131
Birmingham Yardley,E14001100,24265.09171,17938.38711,0.574954776,0.425045224
Bishop Auckland,E14001101,28272.53989,19244.1092,0.595002813,0.404997187
Blackburn,E14001102,23590.07207,18876.24708,0.555500748,0.444499252
Blackley and Middleton South,E14001103,24462.59522,18600.91733,0.56805852,0.43194148
Blackpool North and Fleetwood,E14001104,35939.27429,17096.18237,0.677646174,0.322353826
Blackpool South,E14001105,33129.06225,16378.50467,0.669171691,0.33082831
Blaenau Gwent and Rhymney,W07000084,31317.99083,17995.37467,0.63508119,0.36491881
Blaydon and Consett,E14001106,25330.48278,21853.2373,0.536847937,0.463152063
Blyth and Ashington,E14001107,30482.00757,17952.43597,0.629345675,0.370654325
Bognor Regis and Littlehampton,E14001108,36290.85187,20565.38205,0.638291518,0.361708482
Bolsover,E14001109,37158.29573,15523.23541,0.705338188,0.294661812
Bolton North East,E14001110,31402.91287,22564.07308,0.581891175,0.418108825
Bolton South and Walkden,E14001111,29909.1918,17684.28159,0.628430532,0.371569468
Bolton West,E14001112,28749.27457,23127.57968,0.554183074,0.445816926
Bootle,E14001113,29054.03866,23892.43414,0.548743611,0.451256389
Boston and Skegness,E14001114,41682.97525,13024.85775,0.761919692,0.238080308
Bournemouth East,E14001115,26216.79843,24252.58562,0.519459449,0.480540551
Bournemouth West,E14001116,29625.43835,20573.05124,0.590165931,0.409834069
Bracknell,E14001117,29218.46256,24517.60583,0.543740237,0.456259763
Bradford East,E14001118,24862.48087,19758.25219,0.557195706,0.442804294
Bradford South,E14001119,28952.53086,16315.78919,0.639575996,0.360424005
Bradford West,E14001120,19377.61124,19986.97297,0.492260026,0.507739974
Braintree,E14001121,35931.28441,23551.14787,0.604065487,0.395934513
"Brecon, Radnor and Cwm Tawe",W07000085,28649.28813,26158.84893,0.522719612,0.477280388
Brent East,E14001122,21306.69982,29412.52877,0.420091165,0.579908835
Brent West,E14001123,17620.37439,24702.43915,0.416332775,0.583667225
Brentford and Isleworth,E14001124,22445.22842,27379.21506,0.450486285,0.549513716
Brentwood and Ongar,E14001125,36033.72549,22997.13538,0.610421819,0.389578181
Bridgend,W07000086,25219.67884,24645.94289,0.505752821,0.49424718
Bridgwater,E14001126,33327.05834,18312.07415,0.645383777,0.354616224
Bridlington and the Wolds,E14001127,33538.97227,18030.64711,0.650362998,0.349637002
Brigg and Immingham,E14001128,34081.565,15692.27452,0.68472847,0.31527153
Brighton Kemptown and Peacehaven,E14001129,20291.8661,27643.1474,0.423320338,0.576679662
Brighton Pavilion,E14001130,15934.56878,41121.7332,0.27927798,0.72072202
Bristol Central,E14001131,7256.740835,33695.61499,0.177199594,0.822800406
Bristol East,E14001132,23376.01702,27350.7125,0.460822475,0.539177526
Bristol North East,E14001133,24092.1562,22940.51646,0.512242976,0.487757024
Bristol North West,E14001134,21430.40005,37669.44076,0.362613499,0.637386501
Bristol South,E14001135,25050.64653,29046.5536,0.463067339,0.536932661
Broadland and Fakenham,E14001136,30539.07738,25876.40228,0.54132443,0.45867557
Bromley and Biggin Hill,E14001137,26565.04587,26598.70002,0.499683486,0.500316514
Bromsgrove,E14001138,32563,26252,0.553651279,0.446348721
Broxbourne,E14001139,36966.08224,19622.7772,0.653239571,0.346760429
Broxtowe,E14001140,30339.32883,25464.45952,0.543678659,0.456321341
Buckingham and Bletchley,E14001141,30970.6523,24089.57261,0.562486847,0.437513153
Burnley,E14001142,32454.24173,16634.24662,0.661137526,0.338862474
Burton and Uttoxeter,E14001143,34987.25053,19126.14317,0.646554358,0.353445642
Bury North,E14001144,28931.3298,24539.30914,0.541069461,0.458930539
Bury South,E14001145,29097.88343,25674.08112,0.531255062,0.468744938
Bury St Edmunds and Stowmarket,E14001146,29745.97971,24687.20485,0.546467747,0.453532253
Caerfyrddin,W07000087,28409.77914,26155.34832,0.520658165,0.479341835
Caerphilly,W07000088,27577.04543,22823.36111,0.547159186,0.452840814
"Caithness, Sutherland and Easter Ross",S14000069,25014.47952,27180.29168,0.479252595,0.520747405
Calder Valley,E14001147,27961.98709,26371.73476,0.514634119,0.485365881
Camborne and Redruth,E14001148,29445.21028,22282.36372,0.569236251,0.430763749
Cambridge,E14001149,12268.75567,36258.59815,0.252821444,0.747178556
Cannock Chase,E14001150,36894,16684,0.688603531,0.311396469
Canterbury,E14001151,27823.50726,30356.05321,0.478235089,0.521764911
Cardiff East,W07000089,20969.06557,27568.32994,0.432018763,0.567981237
Cardiff North,W07000090,20363.88147,31275.9741,0.394344276,0.605655724
Cardiff South and Penarth,W07000091,16931.3503,27602.57901,0.380189904,0.619810096
Cardiff West,W07000092,21285.15646,32941.08237,0.392525038,0.607474962
Carlisle,E14001152,33556.10374,21926.53304,0.604803695,0.395196305
Carshalton and Wallington,E14001153,29407.42377,23523.8378,0.55557761,0.444422391
Castle Point,E14001154,38584.01638,14423.61664,0.727895478,0.272104522
Central Ayrshire,S14000010,19120.77663,25283.8014,0.430603723,0.569396277
Central Devon,E14001155,28905.79381,27729.76088,0.510382462,0.489617539
Central Suffolk and North Ipswich,E14001156,28430.3769,22131.38491,0.562290076,0.437709924
Ceredigion Preseli,W07000093,25109.78897,28110.03478,0.471812704,0.528187296
Chatham and Aylesford,E14001157,34605.43404,18990.95013,0.645667326,0.354332674
Cheadle,E14001158,24085.46721,32431.09321,0.426166544,0.573833457
Chelmsford,E14001159,27648.41538,27765.1891,0.498946344,0.501053656
Chelsea and Fulham,E14001160,15079.85572,37659.91685,0.28592948,0.714070521
Cheltenham,E14001161,23862.30213,32274.68678,0.425072712,0.574927288
Chesham and Amersham,E14001162,26465.73078,32091.36884,0.451964509,0.548035491
Chester North and Neston,E14001163,22917.77568,27866.24279,0.451279288,0.548720712
Chester South and Eddisbury,E14001164,26259.89542,30720.83764,0.460855697,0.539144304
Chesterfield,E14001165,30616.49791,21110.5079,0.591886142,0.408113858
Chichester,E14001166,30903.94197,25565.73037,0.547266182,0.452733818
Chingford and Woodford Green,E14001167,26044.61486,25545.68724,0.504835479,0.495164521
Chippenham,E14001168,28601.98236,23816.81586,0.545643611,0.454356389
Chipping Barnet,E14001169,21729.03187,29671.87251,0.422736373,0.577263627
Chorley,E14001170,30787.99799,23096.04231,0.571375083,0.428624917
Christchurch,E14001171,35175.22956,22783.97897,0.606896306,0.393103694
Cities of London and Westminster,E14001172,15300.68903,36136.77862,0.297461942,0.702538058
City of Durham,E14001173,23205.51559,27470.8678,0.457915779,0.542084221
