Post-2019 Westminster Parliamentary constituencies Code,Post-2019 Westminster Parliamentary constituencies,Sex (2 categories) Code,Sex (2 categories),Observation
E14001063,Aldershot,1,Female,58496
E14001063,Aldershot,2,Male,58934
E14001064,Aldridge-Brownhills,1,Female,48120
E14001064,Aldridge-Brownhills,2,Male,45487
E14001065,Altrincham and Sale West,1,Female,51914
E14001065,Altrincham and Sale West,2,Male,49010
E14001066,Amber Valley,1,Female,45868
E14001066,Amber Valley,2,Male,44454
E14001067,Arundel and South Downs,1,Female,50279
E14001067,Arundel and South Downs,2,Male,46898
E14001068,Ashfield,1,Female,48413
E14001068,Ashfield,2,Male,46608
E14001069,Ashford,1,Female,54650
E14001069,Ashford,2,Male,52166
E14001070,Ashton-under-Lyne,1,Female,50705
E14001070,Ashton-under-Lyne,2,Male,49335
E14001071,Aylesbury,1,Female,55508
E14001071,Aylesbury,2,Male,53956
E14001072,Banbury,1,Female,51579
E14001072,Banbury,2,Male,50113
E14001073,Barking,1,Female,68364
E14001073,Barking,2,Male,65452
E14001074,Barnsley North,1,Female,53103
E14001074,Barnsley North,2,Male,51397
E14001075,Barnsley South,1,Female,53204
E14001075,Barnsley South,2,Male,51661
E14001076,Barrow and Furness,1,Female,48977
E14001076,Barrow and Furness,2,Male,48447
E14001077,Basildon and Billericay,1,Female,55799
E14001077,Basildon and Billericay,2,Male,52303
E14001078,Basingstoke,1,Female,55342
E14001078,Basingstoke,2,Male,54685
E14001079,Bassetlaw,1,Female,52596
E14001079,Bassetlaw,2,Male,51606
E14001080,Bath,1,Female,52419
E14001080,Bath,2,Male,49992
E14001081,Battersea,1,Female,56993
E14001081,Battersea,2,Male,51906
E14001082,Beaconsfield,1,Female,50009
E14001082,Beaconsfield,2,Male,46467
E14001083,Beckenham and Penge,1,Female,55745
E14001083,Beckenham and Penge,2,Male,51405
E14001084,Bedford,1,Female,55476
E14001084,Bedford,2,Male,54486
E14001085,Bermondsey and Old Southwark,1,Female,54008
E14001085,Bermondsey and Old Southwark,2,Male,53151
E14001086,Bethnal Green and Stepney,1,Female,63358
E14001086,Bethnal Green and Stepney,2,Male,63398
E14001087,Beverley and Holderness,1,Female,45697
E14001087,Beverley and Holderness,2,Male,43806
E14001088,Bexhill and Battle,1,Female,46801
E14001088,Bexhill and Battle,2,Male,42308
E14001089,Bexleyheath and Crayford,1,Female,51269
E14001089,Bexleyheath and Crayford,2,Male,47394
E14001090,Bicester and Woodstock,1,Female,51100
E14001090,Bicester and Woodstock,2,Male,50060
E14001091,Birkenhead,1,Female,53801
E14001091,Birkenhead,2,Male,51691
E14001092,Birmingham Edgbaston,1,Female,55478
E14001092,Birmingham Edgbaston,2,Male,52866
E14001093,Birmingham Erdington,1,Female,62588
E14001093,Birmingham Erdington,2,Male,59134
E14001094,Birmingham Hall Green and Moseley,1,Female,58992
E14001094,Birmingham Hall Green and Moseley,2,Male,58306
E14001095,Birmingham Hodge Hill and Solihull North,1,Female,63159
E14001095,Birmingham Hodge Hill and Solihull North,2,Male,59135
E14001096,Birmingham Ladywood,1,Female,75914
E14001096,Birmingham Ladywood,2,Male,75951
E14001097,Birmingham Northfield,1,Female,56338
E14001097,Birmingham Northfield,2,Male,51450
E14001098,Birmingham Perry Barr,1,Female,61177
E14001098,Birmingham Perry Barr,2,Male,60684
E14001099,Birmingham Selly Oak,1,Female,56159
E14001099,Birmingham Selly Oak,2,Male,51835
E14001100,Birmingham Yardley,1,Female,57652
E14001100,Birmingham Yardley,2,Male,55864
E14001101,Bishop Auckland,1,Female,47155
E14001101,Bishop Auckland,2,Male,45129
E14001102,Blackburn,1,Female,56688
E14001102,Blackburn,2,Male,55720
E14001103,Blackley and Middleton South,1,Female,56689
E14001103,Blackley and Middleton South,2,Male,54055
E14001104,Blackpool North and Fleetwood,1,Female,48907
E14001104,Blackpool North and Fleetwood,2,Male,46099
E14001105,Blackpool South,1,Female,55152
E14001105,Blackpool South,2,Male,54277
E14001106,Blaydon and Consett,1,Female,47011
E14001106,Blaydon and Consett,2,Male,44516
E14001107,Blyth and Ashington,1,Female,52155
E14001107,Blyth and Ashington,2,Male,49379
E14001108,Bognor Regis and Littlehampton,1,Female,55291
E14001108,Bognor Regis and Littlehampton,2,Male,51768
E14001109,Bolsover,1,Female,50838
E14001109,Bolsover,2,Male,49328
E14001110,Bolton North East,1,Female,57702
E14001110,Bolton North East,2,Male,56216
E14001111,Bolton South and Walkden,1,Female,62880
E14001111,Bolton South and Walkden,2,Male,60656
E14001112,Bolton West,1,Female,50024
E14001112,Bolton West,2,Male,48246
