pano,ONSConstID,ConstituencyName,Region,ConstituencyType,IndexOfChange,Winner19,Second19,Con19,Lab19,LD19,SNP19,PC19,Green19,Brexit19,Other19,Majority19,Turnout19,ConVote19,LabVote19,LDVote19,SNPVote19,PCVote19,GreenVote19,BrexitVote19,OtherVote19,TotalVote19,Electorate19
1,W07000081,Aberafan Maesteg,Wales,County,69.2,Lab,Con,22.63,52.92,3.7,0,8.98,1.58,8.54,1.65,30.29,63.6,10052,23509,1645,0,3991,701,3794,731,44423,69817
2,S14000060,Aberdeen North,Scotland,Borough,61.3,SNP,Con,24.55,11.98,7.73,52.9,0,1.22,1.62,0,28.35,65.2,12306,6005,3875,26516,0,612,813,0,50127,76895
3,S14000061,Aberdeen South,Scotland,Borough,21.1,SNP,Con,34.36,8.77,10.69,45.26,0,0.53,0.39,0,10.9,65.5,17220,4394,5358,22683,0,268,195,0,50118,76560
4,S14000062,Aberdeenshire North and Moray East,Scotland,County,48.9,Con,SNP,48.32,4.17,4.42,43.09,0,0,0,0,5.23,64.2,22174,1914,2028,19775,0,0,0,0,45891,71485
5,S14000058,West Aberdeenshire and Kincardine,Scotland,County,none,Con,SNP,42.65,4.56,11.72,41.07,0,0,0,0,1.58,72.4,22752,2431,6253,21909,0,0,0,0,53345,73634
6,S14000063,Airdrie and Shotts,Scotland,County,10.8,SNP,Lab,17.26,33.11,3.57,44.6,0,1.46,0,0,11.49,65.8,8000,15343,1652,20667,0,676,0,0,46338,70420
7,E14001063,Aldershot,South East,Borough,6.6,Con,Lab,56.83,22.13,17.5,0,0,3.55,0,0,34.7,67.5,29453,11468,9068,0,0,1839,0,0,51828,76765
8,E14001064,Aldridge-Brownhills,West Midlands,Borough,20.7,Con,Lab,69.61,21.52,5.61,0,0,1.84,0.71,0.71,48.09,64.7,32941,10183,2654,0,0,873,334,336,47321,73122
9,S14000064,Alloa and Grangemouth,Scotland,County,99.7,SNP,Con,24.8,14.5,5.31,52.67,0,1.48,0.39,0.84,27.87,63.2,11323,6622,2426,24050,0,678,177,382,45658,72265
10,E14001065,Altrincham and Sale West,North West,Borough,none,Con,Lab,48.05,36.84,11.02,0,0,2.86,0,1.24,11.21,74.1,26311,20172,6036,0,0,1566,0,678,54763,73934
11,W07000082,Alyn and Deeside,Wales,County,20.1,Lab,Con,41.95,42.74,5.91,0,3.4,0,5.99,0,0.79,69.2,21963,22374,3095,0,1781,0,3137,0,52350,75695
12,E14001066,Amber Valley,East Midlands,County,0.1,Con,Lab,63.84,26.81,6.3,0,0,3.05,0,0,37.03,64.6,29118,12227,2875,0,0,1389,0,0,45609,70625
13,S14000065,Angus and Perthshire Glens,Scotland,County,91.6,SNP,Con,39.8,4.25,4.96,50.42,0,0,0.58,0,10.62,73.4,22504,2402,2803,28509,0,0,329,0,56547,77006
17,S14000066,Arbroath and Broughty Ferry,Scotland,County,56.8,SNP,Con,30.26,10.21,8,50.94,0,0,0,0.6,20.68,67.9,15773,5321,4168,26550,0,0,0,312,52124,76810
18,S14000067,"Argyll, Bute and South Lochaber",Scotland,County,6.1,SNP,Con,34.51,7.08,14.14,44.16,0,0,0.11,0,9.65,70.7,17506,3592,7172,22403,0,0,54,0,50727,71707
