ONSConstID,ConstituencyName,Country,Region,ConstituencyType,Winner24,Second24,Con24,Lab24,LD24,SNP24,PC24,Green24,RUK24,Other24,Majority24,Turnout24,ConVote24,LabVote24,LDVote24,SNPVote24,PCVote24,GreenVote24,RUKVote24,OtherVote24,TotalVote24,RejectedVote24,Electorate24,MPFirstName24,MPSurname24,MPGender24
W07000081,Aberafan Maesteg,Wales,Wales,County,Lab,RUK,8.119144175639772,49.889525940427916,2.561879457418543,0,13.198154104321075,3.0597119284016223,20.931338274367224,2.240246119423857,28.95818766606069,49.262882336731884,2903,17838,916,0,4719,1094,7484,801,35755,79,72580,Stephen,Kinnock,Male
S14000060,Aberdeen North,Scotland,Scotland,Burgh,SNP,Lab,13.970780377717068,30.343271172348256,6.136120679415607,34.52429029575959,0,3.0288632854258224,8.982064378192185,3.0146098111414656,4.181019123411332,55.44287125452749,5881,12773,2583,14533,0,1275,3781,1269,42095,115,75925,Kirsty,Blackman,Female
S14000061,Aberdeen South,Scotland,Scotland,Burgh,SNP,Lab,24.38234976804402,24.716797928579133,6.302729528535981,32.82554752400475,0,3.471787679361312,6.902578487431223,1.3982090840435861,8.108749595425612,59.93301262156011,11300,11455,2921,15213,0,1609,3199,648,46345,178,77328,Stephen,Flynn,Male
S14000062,Aberdeenshire North and Moray East,Scotland,Scotland,County,SNP,Con,32.76683775007856,10.149785272860584,7.285010998219336,35.23358122970567,0,0,14.564784749135853,0,2.466743479627108,54.50912101401696,12513,3876,2782,13455,0,0,5562,0,38188,170,70058,Seamus,Logan,Male
S14000063,Airdrie and Shotts,Scotland,Scotland,County,Lab,SNP,4.625538646157203,51.46729940544373,1.977308678339606,30.88419789450717,0,0,8.102874597719959,2.9427807778323243,20.583101510936565,52.23151326941979,1696,18871,725,11324,0,0,2971,1079,36666,95,70199,Kenneth,Stevenson,Male
E14001063,Aldershot,England,South East,Borough,Lab,Con,29.006674357284112,40.71357943309163,8.347066578773896,0,0,4.439271588661833,16.912491760052735,0.5809162821357943,11.706905075807516,61.79776711265006,14081,19764,4052,0,0,2155,8210,282,48544,179,78553,Alex,Baker,Female
E14001064,Aldridge-Brownhills,England,West Midlands,Borough,Con,Lab,38.86634728197106,28.370649198279235,4.28969495502542,0,0,4.267696519358624,24.205612045365662,0,10.495698083691826,58.22280412136392,15901,11607,1755,0,0,1746,9903,0,40912,156,70268,Wendy,Morton,Female
S14000064,Alloa and Grangemouth,Scotland,Scotland,County,Lab,SNP,7.589621611125944,43.78291789034247,2.7936215140409213,28.924055241377637,0,3.448945413946263,9.232785611999708,4.228052717167059,14.858862648964832,58.292303338992646,3127,18039,1151,11917,0,1421,3804,1742,41201,74,70680,Brian,Leishman,Male
E14001065,Altrincham and Sale West,England,North West,Borough,Lab,Con,32.3097255694628,40.42214102464433,9.187203607245587,0,0,7.189224908652725,9.641996423851356,1.2497084661432014,8.112415455181528,69.50624788922661,16624,20798,4727,0,0,3699,4961,643,51452,184,74025,Connor,Rand,Male
W07000082,Alyn and Deeside,Wales,Wales,County,Lab,RUK,18.187684365781713,42.39260693215339,4.758941740412979,0,4.466261061946902,4.438606194690266,22.126198377581122,3.6297013274336285,20.266408554572273,57.25293574350177,7892,18395,2065,0,1938,1926,9601,1575,43392,135,75790,Mark,Tami,Male
